Part,Name,SupplyKind,TapeKind,TapeWidth,TapePitch,PartCount,Polarity,L,W,T,Number,PartName,Volume,LWTNumber,PartNum
0CK,272BKF6A,Tape and Reel,Paper,8,2,10000,Yes,0.9,0.5,0.3,44,0CK272BKF6A,0.135,15,10
EAE,62967021,Tape and Reel,Paper,8,2,5000,Yes,0.9,0.5,0.3,170,EAE62967021,0.135,15,26
EAE,62967024,Tape and Reel,Paper,8,2,10000,Yes,0.9,0.5,0.3,170,EAE62967024,0.135,15,26
EAE,62967035,Tape and Reel,Paper,8,2,10000,Yes,0.9,0.5,0.3,170,EAE62967035,0.135,15,26
GCC,101BKF1A,Tape and Reel,Paper,8,2,5000,Yes,0.9,0.5,0.3,1332,GCC101BKF1A,0.135,15,49
EAM,54407902,Tape and Reel,Paper,8,2,5000,Yes,0.9,0.5,0.35,541,EAM54407902,0.1575,16,30
EAE,62967008,Tape and Reel,Paper,8,2,5000,Yes,0.9,0.5,0.45,171,EAE62967008,0.2025,17,26
0CK,331BKFDA,Tape and Reel,Paper,8,2,10000,Yes,0.9,0.5,0.5,45,0CK331BKFDA,0.225,18,10
EAE,64361602,Tape and Reel,Tray,8,2,5000,Yes,0.9,0.5,0.5,172,EAE64361602,0.225,18,26
EAE,66291101,Tape and Reel,Tray,8,2,5000,Yes,0.9,0.5,0.5,172,EAE66291101,0.225,18,26
TEA,E2207397,Tape and Reel,Tray,8,2,5000,Yes,0.9,0.5,0.5,1388,TEAE2207397,0.225,18,59
TEA,E2207401,Tape and Reel,Tray,8,2,5000,Yes,0.9,0.5,0.5,1388,TEAE2207401,0.225,18,59
TEA,E2207404,Tape and Reel,Tray,8,2,5000,Yes,0.9,0.5,0.5,1388,TEAE2207404,0.225,18,59
EAH,65052801,Tape and Reel,Tray,8,2,3000,Yes,0.9,1.25,0.35,455,EAH65052801,0.39375,19,29
EAH,65052811,Tape and Reel,Tray,8,2,3000,Yes,0.9,1.25,0.35,455,EAH65052811,0.39375,19,29
0CK,105BCG7A,Tape and Reel,Paper,8,2,5000,Yes,0.91,0.5,0.5,46,0CK105BCG7A,0.2275,20,10
EAP,63988301,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.47,0.47,996,EAP63988301,0.203228,21,32
0CC,100BKF1A,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.48,0.3,20,0CC100BKF1A,0.13248,22,7
0CC,120BK4AA,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.48,0.3,20,0CC120BK4AA,0.13248,22,7
0CZ,ZB00042A,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.48,0.3,65,0CZZB00042A,0.13248,22,11
EAE,62967009,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.48,0.3,173,EAE62967009,0.13248,22,26
EAP,62526803,Tape and Reel,Tray,8,2,5000,Yes,0.92,0.48,0.3,997,EAP62526803,0.13248,22,32
0CK,104BH56A,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.48,0.45,47,0CK104BH56A,0.19872,23,10
EAE,65238101,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.48,0.45,174,EAE65238101,0.19872,23,26
0CC,3R9BKF1A,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.48,0.5,21,0CC3R9BKF1A,0.2208,24,7
0CC,103BK5BA,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,22,0CC103BK5BA,0.13524,25,7
0CK,333BFG6A,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,48,0CK333BFG6A,0.13524,25,10
0CK,560BK4EA,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,48,0CK560BK4EA,0.13524,25,10
0CZ,ZB00024A,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,66,0CZZB00024A,0.13524,25,11
0CZ,ZB00055B,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,66,0CZZB00055B,0.13524,25,11
EAE,37992003,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,175,EAE37992003,0.13524,25,26
EAE,62603508,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,175,EAE62603508,0.13524,25,26
EAE,62681702,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,175,EAE62681702,0.13524,25,26
EAE,62681705,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,175,EAE62681705,0.13524,25,26
EAE,62681709,Tape and Reel,Tray,8,2,5000,Yes,0.92,0.49,0.3,175,EAE62681709,0.13524,25,26
EAE,62681711,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,175,EAE62681711,0.13524,25,26
EAE,62681713,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,175,EAE62681713,0.13524,25,26
EAE,63182901,Tape and Reel,Tray,8,2,5000,Yes,0.92,0.49,0.3,175,EAE63182901,0.13524,25,26
EAE,63422310,Tape and Reel,Tray,8,2,5000,Yes,0.92,0.49,0.3,175,EAE63422310,0.13524,25,26
EAE,63422311,Tape and Reel,Tray,8,2,5000,Yes,0.92,0.49,0.3,175,EAE63422311,0.13524,25,26
EAE,63461902,Tape and Reel,Tray,8,2,5000,Yes,0.92,0.49,0.3,175,EAE63461902,0.13524,25,26
EAE,63461916,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,175,EAE63461916,0.13524,25,26
EAE,63461922,Tape and Reel,Tray,8,2,5000,Yes,0.92,0.49,0.3,175,EAE63461922,0.13524,25,26
EAE,63462001,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,175,EAE63462001,0.13524,25,26
EAE,63762201,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,175,EAE63762201,0.13524,25,26
EAE,64344203,Tape and Reel,Tray,8,2,5000,Yes,0.92,0.49,0.3,175,EAE64344203,0.13524,25,26
EAE,64721602,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,175,EAE64721602,0.13524,25,26
EAE,64721607,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,175,EAE64721607,0.13524,25,26
EAE,64821904,Tape and Reel,Tray,8,2,5000,Yes,0.92,0.49,0.3,175,EAE64821904,0.13524,25,26
EAE,64921801,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,175,EAE64921801,0.13524,25,26
EAE,65188901,Tape and Reel,Tray,8,2,5000,Yes,0.92,0.49,0.3,175,EAE65188901,0.13524,25,26
EAE,65224101,Tape and Reel,Paper,8,2,10000,Yes,0.92,0.49,0.3,175,EAE65224101,0.13524,25,26
EAE,65227801,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,175,EAE65227801,0.13524,25,26
EAE,65228101,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,175,EAE65228101,0.13524,25,26
EAE,65237102,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,175,EAE65237102,0.13524,25,26
EAE,65238102,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,175,EAE65238102,0.13524,25,26
EAE,65238103,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,175,EAE65238103,0.13524,25,26
EAE,65238105,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,175,EAE65238105,0.13524,25,26
EAE,65238806,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,175,EAE65238806,0.13524,25,26
EAE,65322002,Tape and Reel,Tray,8,2,5000,Yes,0.92,0.49,0.3,175,EAE65322002,0.13524,25,26
EAE,66308301,Tape and Reel,Tray,8,2,5000,Yes,0.92,0.49,0.3,175,EAE66308301,0.13524,25,26
EAE,66308601,Tape and Reel,Tray,8,2,5000,Yes,0.92,0.49,0.3,175,EAE66308601,0.13524,25,26
EAE,66308801,Tape and Reel,Tray,8,2,5000,Yes,0.92,0.49,0.3,175,EAE66308801,0.13524,25,26
EAM,62891102,Tape and Reel,Tray,8,2,5000,Yes,0.92,0.49,0.3,542,EAM62891102,0.13524,25,30
TEA,M2206955,Tape and Reel,Tray,8,2,5000,Yes,0.92,0.49,0.3,1389,TEAM2206955,0.13524,25,59
tes,t,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.3,1477,test,0.13524,25,61
0CZ,ZB00058A,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.5,67,0CZZB00058A,0.2254,26,11
EAE,62681703,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.5,176,EAE62681703,0.2254,26,26
EAE,64505201,Tape and Reel,Tray,8,2,5000,Yes,0.92,0.49,0.5,176,EAE64505201,0.2254,26,26
EAE,65001801,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.5,176,EAE65001801,0.2254,26,26
EAP,62807131,Tape and Reel,Paper,8,2,5000,Yes,0.92,0.49,0.5,998,EAP62807131,0.2254,26,32
EAE,64365701,Tape and Reel,Paper,8,2,5000,Yes,0.93,0.49,0.25,177,EAE64365701,0.113925,27,26
EAF,57648002,Tape and Reel,Paper,8,2,5000,Yes,0.93,0.49,0.3,281,EAF57648002,0.13671,28,27
EAH,63274401,Tape and Reel,Paper,8,2,10000,Yes,0.94,0.7,0.4,456,EAH63274401,0.2632,29,29
EAE,62681707,Tape and Reel,Paper,8,2,5000,Yes,0.95,0.45,0.3,178,EAE62681707,0.12825,30,26
EAE,65238805,Tape and Reel,Paper,8,2,5000,Yes,0.95,0.45,0.3,178,EAE65238805,0.12825,30,26
EAE,62603505,Tape and Reel,Paper,8,2,5000,Yes,0.95,0.45,0.45,179,EAE62603505,0.192375,31,26
EAE,63461912,Tape and Reel,Tray,8,2,5000,Yes,0.95,0.45,0.45,179,EAE63461912,0.192375,31,26
EAE,63603901,Tape and Reel,Tray,8,2,5000,Yes,0.95,0.45,0.45,179,EAE63603901,0.192375,31,26
EAE,65237601,Tape and Reel,Tray,8,2,5000,Yes,0.95,0.45,0.45,179,EAE65237601,0.192375,31,26
EAE,65238108,Tape and Reel,Paper,8,2,5000,Yes,0.95,0.45,0.45,179,EAE65238108,0.192375,31,26
EAE,66248101,Tape and Reel,Tray,8,2,5000,Yes,0.95,0.45,0.45,179,EAE66248101,0.192375,31,26
0CC,151BK41A,Tape and Reel,Paper,8,2,10000,Yes,0.95,0.5,0.3,23,0CC151BK41A,0.1425,32,7
EBC,62528402,Tape and Reel,Paper,8,2,10000,Yes,0.95,0.5,0.35,1193,EBC62528402,0.16625,33,36
EAE,30383301,Tape and Reel,Paper,8,2,10000,Yes,0.95,0.5,0.5,180,EAE30383301,0.2375,34,26
EAE,64344602,Tape and Reel,Paper,8,2,10000,Yes,0.95,0.5,0.5,180,EAE64344602,0.2375,34,26
EAE,64721601,Tape and Reel,Paper,8,2,10000,Yes,0.95,0.5,0.5,180,EAE64721601,0.2375,34,26
EAE,65187702,Tape and Reel,Paper,8,2,10000,Yes,0.95,0.5,0.5,180,EAE65187702,0.2375,34,26
EAE,66023401,Tape and Reel,Paper,8,2,5000,Yes,0.95,0.5,0.5,180,EAE66023401,0.2375,34,26
EAE,66254301,Tape and Reel,Paper,8,2,5000,Yes,0.95,0.5,0.5,180,EAE66254301,0.2375,34,26
0RH,0332B622,Tape and Reel,Paper,8,2,10000,Yes,0.97,0.49,0.35,107,0RH0332B622,0.166355,35,19
0RJ,0221C678,Tape and Reel,Paper,8,2,10000,Yes,0.97,0.49,0.35,127,0RJ0221C678,0.166355,35,20
0RJ,0752C478,Tape and Reel,Paper,8,2,10000,Yes,0.97,0.49,0.35,127,0RJ0752C478,0.166355,35,20
0RJ,1502C478,Tape and Reel,Paper,8,2,10000,Yes,0.97,0.49,0.35,127,0RJ1502C478,0.166355,35,20
0RJ,1503C478,Tape and Reel,Tray,8,2,10000,Yes,0.97,0.49,0.35,127,0RJ1503C478,0.166355,35,20
0RJ,1503C678,Tape and Reel,Paper,8,2,10000,Yes,0.97,0.49,0.35,127,0RJ1503C678,0.166355,35,20
0RJ,1803C678,Tape and Reel,Paper,8,2,10000,Yes,0.97,0.49,0.35,127,0RJ1803C678,0.166355,35,20
0RJ,3302C478,Tape and Reel,Paper,8,2,10000,Yes,0.97,0.49,0.35,127,0RJ3302C478,0.166355,35,20
0RJ,4701C478,Tape and Reel,Paper,8,2,10000,Yes,0.97,0.49,0.35,127,0RJ4701C478,0.166355,35,20
0RJ,5102C678,Tape and Reel,Paper,8,2,10000,Yes,0.97,0.49,0.35,127,0RJ5102C678,0.166355,35,20
0RJ,6201C478,Tape and Reel,Paper,8,2,10000,Yes,0.97,0.49,0.35,127,0RJ6201C478,0.166355,35,20
0RJ,8202C478,Tape and Reel,Paper,8,2,10000,Yes,0.97,0.49,0.35,127,0RJ8202C478,0.166355,35,20
0RJ,9101C478,Tape and Reel,Paper,8,2,10000,Yes,0.97,0.49,0.35,127,0RJ9101C478,0.166355,35,20
EBC,62523813,Tape and Reel,Paper,8,2,10000,Yes,0.97,0.49,0.35,1194,EBC62523813,0.166355,35,36
0RJ,1502C678,Tape and Reel,Paper,8,2,10000,Yes,0.97,0.5,0.35,128,0RJ1502C678,0.16975,36,20
EAE,65238801,Tape and Reel,Paper,8,2,5000,Yes,0.97,0.5,0.4,181,EAE65238801,0.194,37,26
0RJ,1000C478,Tape and Reel,Paper,8,2,10000,Yes,0.97,0.56,0.35,129,0RJ1000C478,0.19012,38,20
0RJ,2201C478,Tape and Reel,Paper,8,2,10000,Yes,0.98,0.5,0.35,130,0RJ2201C478,0.1715,39,20
0RJ,2202C478,Tape and Reel,Paper,8,2,10000,Yes,0.98,0.5,0.35,130,0RJ2202C478,0.1715,39,20
0RJ,3602C478,Tape and Reel,Paper,8,2,10000,Yes,0.98,0.51,0.35,131,0RJ3602C478,0.17493,40,20
0RJ,3901C478,Tape and Reel,Paper,8,2,10000,Yes,0.98,0.51,0.35,131,0RJ3901C478,0.17493,40,20
0RJ,6802C678,Tape and Reel,Paper,8,2,10000,Yes,0.98,0.51,0.35,131,0RJ6802C678,0.17493,40,20
0RH,4700B622,Tape and Reel,Paper,8,2,10000,Yes,0.98,0.52,0.35,108,0RH4700B622,0.17836,41,19
EAE,64802401,Tape and Reel,Paper,8,2,5000,Yes,1,0.42,0.3,182,EAE64802401,0.126,42,26
EAE,64344101,Tape and Reel,Paper,8,2,10000,Yes,1,0.49,0.35,183,EAE64344101,0.1715,43,26
EBC,62528473,Tape and Reel,Paper,8,2,10000,Yes,1,0.49,0.35,1195,EBC62528473,0.1715,43,36
0CC,100BKG1A,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,24,0CC100BKG1A,0.15,44,7
0CC,180BKFAA,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,24,0CC180BKFAA,0.15,44,7
0CC,3R3BKFBA,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,24,0CC3R3BKFBA,0.15,44,7
0CK,060BK5DA,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,49,0CK060BK5DA,0.15,44,10
0CK,101BK4EA,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,49,0CK101BK4EA,0.15,44,10
0CK,102BK5FA,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,49,0CK102BK5FA,0.15,44,10
0CK,2R7BK0DA,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,49,0CK2R7BK0DA,0.15,44,10
0CK,472BHG6A,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,49,0CK472BHG6A,0.15,44,10
0CK,681BK56A,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,49,0CK681BK56A,0.15,44,10
0RJ,3003C478,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.3,132,0RJ3003C478,0.15,44,20
0RJ,3601C478,Tape and Reel,Paper,8,4,5000,Yes,1,0.5,0.3,132,0RJ3601C478,0.15,44,20
EAE,30281301,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE30281301,0.15,44,26
EAE,30281901,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE30281901,0.15,44,26
EAE,30974301,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE30974301,0.15,44,26
EAE,35171501,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE35171501,0.15,44,26
EAE,39487501,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE39487501,0.15,44,26
EAE,62681708,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE62681708,0.15,44,26
EAE,62681712,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE62681712,0.15,44,26
EAE,62681714,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE62681714,0.15,44,26
EAE,62681721,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE62681721,0.15,44,26
EAE,62746601,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.3,184,EAE62746601,0.15,44,26
EAE,62967001,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE62967001,0.15,44,26
EAE,62967003,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE62967003,0.15,44,26
EAE,62967004,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE62967004,0.15,44,26
EAE,62967006,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE62967006,0.15,44,26
EAE,62967007,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE62967007,0.15,44,26
EAE,62967022,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE62967022,0.15,44,26
EAE,62967023,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.3,184,EAE62967023,0.15,44,26
EAE,62967031,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE62967031,0.15,44,26
EAE,63422303,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE63422303,0.15,44,26
EAE,63422307,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE63422307,0.15,44,26
EAE,63461903,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE63461903,0.15,44,26
EAE,63461904,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.3,184,EAE63461904,0.15,44,26
EAE,63461909,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.3,184,EAE63461909,0.15,44,26
EAE,63461910,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE63461910,0.15,44,26
EAE,63461914,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE63461914,0.15,44,26
EAE,63461921,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE63461921,0.15,44,26
EAE,63461923,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE63461923,0.15,44,26
EAE,63461926,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE63461926,0.15,44,26
EAE,63461927,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE63461927,0.15,44,26
EAE,63461928,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.3,184,EAE63461928,0.15,44,26
EAE,63582001,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE63582001,0.15,44,26
EAE,63761801,Tape and Reel,Paper,8,2,10000,Yes,1,0.5,0.3,184,EAE63761801,0.15,44,26
EAE,63762401,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE63762401,0.15,44,26
EAE,63842701,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE63842701,0.15,44,26
EAE,63904801,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE63904801,0.15,44,26
EAE,63904802,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.3,184,EAE63904802,0.15,44,26
EAE,64344603,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.3,184,EAE64344603,0.15,44,26
EAE,64361601,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE64361601,0.15,44,26
EAE,64383001,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE64383001,0.15,44,26
EAE,64462201,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE64462201,0.15,44,26
EAE,64721603,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE64721603,0.15,44,26
EAE,64801802,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE64801802,0.15,44,26
EAE,64801803,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE64801803,0.15,44,26
EAE,64802101,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE64802101,0.15,44,26
EAE,64821905,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE64821905,0.15,44,26
EAE,65002301,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE65002301,0.15,44,26
EAE,65041601,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.3,184,EAE65041601,0.15,44,26
EAE,65042601,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.3,184,EAE65042601,0.15,44,26
EAE,65141601,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.3,184,EAE65141601,0.15,44,26
EAE,65192001,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.3,184,EAE65192001,0.15,44,26
EAE,65196202,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE65196202,0.15,44,26
EAE,65226401,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE65226401,0.15,44,26
EAE,65227501,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE65227501,0.15,44,26
EAE,65228001,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE65228001,0.15,44,26
EAE,65236912,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE65236912,0.15,44,26
EAE,65238106,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE65238106,0.15,44,26
EAE,65238112,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE65238112,0.15,44,26
EAE,65241701,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE65241701,0.15,44,26
EAE,65246301,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE65246301,0.15,44,26
EAE,65247101,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE65247101,0.15,44,26
EAE,65248601,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE65248601,0.15,44,26
EAE,66247901,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE66247901,0.15,44,26
EAE,66262301,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE66262301,0.15,44,26
EAE,66284101,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,184,EAE66284101,0.15,44,26
EAF,57648001,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,282,EAF57648001,0.15,44,27
EAF,57648003,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,282,EAF57648003,0.15,44,27
EAF,63630001,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,282,EAF63630001,0.15,44,27
EAH,61273902,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,457,EAH61273902,0.15,44,29
EAM,54407703,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,543,EAM54407703,0.15,44,30
EAM,63271005,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,543,EAM63271005,0.15,44,30
EAP,30396101,Tape and Reel,Paper,8,2,5000,Yes,1,0.5,0.3,999,EAP30396101,0.15,44,32
EAP,60773003,Tape and Reel,Tray,8,2,5000,Yes,1,0.5,0.3,999,EAP60773003,0.15,44,32
