Recipe: EBR32094107-BOT_0518_2
Description: 
Product: EBR32094107-BOT

Feeder Setup
Machine #,Machine Name,Table,Slot,SubSlot,Part,Supply,Placements,Substitute Parts,ThinTypeSingle
1,"NPM-WX-1",2,20010,,,,,,
1,"NPM-WX-1",2,20011,,,,,,
1,"NPM-WX-1",2,20012,,,,,,
1,"NPM-WX-1",2,20013,,,,,,
1,"NPM-WX-1",2,20014,,,,,,
1,"NPM-WX-1",2,20015,,,,,,
1,"NPM-WX-1",2,20016,L,"EAF57648002",P0802_S,6,"",
1,"NPM-WX-1",2,20016,R,"EAE65238103",P0802_S,22,"",
1,"NPM-WX-1",2,20017,L,"EBC62528408",P0802_S,30,"",
1,"NPM-WX-1",2,20017,R,"EAM60887206",P0804_S,14,"",
1,"NPM-WX-1",2,20018,L,"EBC62528429",P0802_S,11,"",
1,"NPM-WX-1",2,20018,R,"0RJ1002C478",P0802_S,12,"",
1,"NPM-WX-1",2,20019,L,"0RJ1003C478",P0802_S,25,"",
1,"NPM-WX-1",2,20019,R,"0RJ2202C478",P0802_S,8,"",
1,"NPM-WX-1",2,20020,L,"EBC62528496",P0802_S,6,"",
1,"NPM-WX-1",2,20020,R,"",,0,,
1,"NPM-WX-1",2,20021,L,"EAE62681705",P0802_S,5,"",
1,"NPM-WX-1",2,20021,R,"",,0,,
1,"NPM-WX-1",2,20022,L,"EAE65238102",P0802_S,5,"",
1,"NPM-WX-1",2,20022,R,"",,0,,
1,"NPM-WX-1",2,20023,,,,,,
1,"NPM-WX-1",2,20024,,,,,,
1,"NPM-WX-1",2,20025,,,,,,
1,"NPM-WX-1",2,20026,,,,,,
1,"NPM-WX-1",2,20027,,,,,,
1,"NPM-WX-1",2,20028,,,,,,
1,"NPM-WX-1",2,20029,,,,,,
1,"NPM-WX-1",2,20030,,,,,,
2,"NPM-WX-2",1,30001,,,,,,
2,"NPM-WX-2",1,30002,,,,,,
2,"NPM-WX-2",1,30003,L,"",,0,,
2,"NPM-WX-2",1,30003,R,"0RJ8200C678",P0802_S,1,"",
2,"NPM-WX-2",1,30004,L,"",,0,,
2,"NPM-WX-2",1,30004,R,"EBC64038503",P0802_S,1,"",
2,"NPM-WX-2",1,30005,L,"0CK476EDK6A",E0804_S,1,"",
2,"NPM-WX-2",1,30005,R,"EAE65237902",E0804_S,1,"",
2,"NPM-WX-2",1,30006,L,"EAP62666603",E0804_S,1,"",
2,"NPM-WX-2",1,30006,R,"EAE65237204",P0802_S,1,"",
2,"NPM-WX-2",1,30007,L,"0RJ3902C478",P0802_S,1,"",
2,"NPM-WX-2",1,30007,R,"EAE63422304",P0802_S,1,"",
2,"NPM-WX-2",1,30008,L,"EAE64465401",P0804_S,1,"",
2,"NPM-WX-2",1,30008,R,"EAN64552401",E0804_S,1,"",
2,"NPM-WX-2",1,30009,L,"0CK475DF40A",E0804_S,2,"",
2,"NPM-WX-2",1,30009,R,"EBC63956407",P0804_L,1,"",
2,"NPM-WX-2",1,30010,L,"EAE61081701",E0804_S,1,"",
2,"NPM-WX-2",1,30010,R,"EBC62528415",P0802_S,1,"",
2,"NPM-WX-2",1,30011,L,"EAE65238805",P0802_S,2,"",
2,"NPM-WX-2",1,30011,R,"EBC64839840",P0802_S,1,"",
2,"NPM-WX-2",1,30012,L,"EBC62528481",P0802_S,1,"",
2,"NPM-WX-2",1,30012,R,"EAP62687101",P0804_S,1,"",
2,"NPM-WX-2",1,30013,L,"EAM62152401",P0804_S,4,"",
2,"NPM-WX-2",1,30013,R,"0RH0102G622",P0804_S,2,"",
2,"NPM-WX-2",1,30014,L,"EAE65238402",E0804_S,4,"",
2,"NPM-WX-2",1,30014,R,"EBC63956412",P0804_L,1,"",
2,"NPM-WX-2",1,30015,L,"0RH1003C422",P0804_L,1,"",
2,"NPM-WX-2",1,30015,R,"0TRRH80005A",E0804_S,1,"",
2,"NPM-WX-2",1,30016,L,"EAH63172901",E0802_S,2,"",
2,"NPM-WX-2",1,30016,R,"EAN57678401",E0804_S,1,"",
2,"NPM-WX-2",1,30017,L,"EBC62528401",P0804_S,5,"",
2,"NPM-WX-2",1,30017,R,"EAE52158501",E0804_S,9,"",
2,"NPM-WX-2",1,30018,L,"0RZZR00001E",P0804_L,3,"",
2,"NPM-WX-2",1,30018,R,"EAM62152001",P0804_S,6,"",
2,"NPM-WX-2",1,30019,L,"EBC34879501",P0804_L,2,"",
2,"NPM-WX-2",1,30019,R,"EBC62975831",P0802_S,5,"",
2,"NPM-WX-2",1,30020,L,"EBC63835704",P0804_L,2,"",
2,"NPM-WX-2",1,30020,R,"0RJ0222C678",P0802_S,60,"",
2,"NPM-WX-2",1,30021,,,,,,
2,"NPM-WX-2",1,30022,,,,,,
2,"NPM-WX-2",1,30023,,,,,,
2,"NPM-WX-2",1,30024,,,,,,
2,"NPM-WX-2",1,30025,,,,,,
2,"NPM-WX-2",1,30026,,,,,,
2,"NPM-WX-2",1,30027,,,,,,
2,"NPM-WX-2",1,30028,,,,,,
2,"NPM-WX-2",1,30029,,,,,,
2,"NPM-WX-2",1,30030,,,,,,
2,"NPM-WX-2",2,40001,L,"EAE64344501",P0802_S,2,"",
2,"NPM-WX-2",2,40001,R,"EAE64383201",P0804_S,4,"",
2,"NPM-WX-2",2,40002,L,"0RJ0222C678",P0802_S,11,"",
2,"NPM-WX-2",2,40002,R,"EAE62681711",P0802_S,4,"",
2,"NPM-WX-2",2,40003,L,"EAE62681702",P0802_S,4,"",
2,"NPM-WX-2",2,40003,R,"EAE65237801",P0804_S,14,"",
2,"NPM-WX-2",2,40004,L,"EAE62681704",P0802_S,5,"",
2,"NPM-WX-2",2,40004,R,"EAH64053301",E0804_S,15,"",
2,"NPM-WX-2",2,40005,L,"0CK560BK4EA",P0802_S,2,"",
2,"NPM-WX-2",2,40005,R,"EBC62528412",P0802_S,3,"",
2,"NPM-WX-2",2,40006,L,"0RJ1001E478",P0802_S,4,"",
2,"NPM-WX-2",2,40006,R,"EAE65237701",P0802_S,3,"",
2,"NPM-WX-2",2,40007,L,"EBC62528454",P0802_S,4,"",
2,"NPM-WX-2",2,40007,R,"EAE62681703",P0802_S,4,"",
2,"NPM-WX-2",2,40008,L,"EAM63710605",P0804_S,3,"",
2,"NPM-WX-2",2,40008,R,"EAP62887206",P0802_S,2,"",
2,"NPM-WX-2",2,40009,L,"EAE65265401",P0804_S,5,"",
2,"NPM-WX-2",2,40009,R,"EBC62528428",P0802_S,2,"",
2,"NPM-WX-2",2,40010,L,"EAE64462001",P0802_S,2,"",
2,"NPM-WX-2",2,40010,R,"EBC62528447",P0802_S,2,"",
2,"NPM-WX-2",2,40011,L,"EAP62526801",P0802_S,2,"",
2,"NPM-WX-2",2,40011,R,"0CZZB00055A",P0802_S,2,"",
2,"NPM-WX-2",2,40012,L,"EAH64853901",E0802_S,2,"",
2,"NPM-WX-2",2,40012,R,"0RJ1004C477",P0804_L,2,"",
2,"NPM-WX-2",2,40013,L,"EAH63553701",E0804_S,2,"",
2,"NPM-WX-2",2,40013,R,"0RH5100C622",P0804_L,2,"",
2,"NPM-WX-2",2,40014,L,"0RJ0471C678",P0802_S,2,"",
2,"NPM-WX-2",2,40014,R,"EAE62582401",P0804_S,2,"",
2,"NPM-WX-2",2,40015,L,"0RJ1201C478",P0802_S,2,"",
2,"NPM-WX-2",2,40015,R,"EAE65238801",P0802_S,2,"",
2,"NPM-WX-2",2,40016,L,"0CC102CK41A",P0804_S,2,"",
2,"NPM-WX-2",2,40016,R,"0RH0182C622",P0804_S,1,"",
2,"NPM-WX-2",2,40017,L,"0RH2202C422",P0804_S,1,"",
2,"NPM-WX-2",2,40017,R,"EAE65196202",P0802_S,1,"",
2,"NPM-WX-2",2,40018,L,"0RJ1004C678",P0802_S,1,"",
2,"NPM-WX-2",2,40018,R,"EAE65238109",P0802_S,1,"",
2,"NPM-WX-2",2,40019,L,"EAN62046401",E0804_S,1,"",
2,"NPM-WX-2",2,40019,R,"EAE62967025",P0804_S,1,"",
2,"NPM-WX-2",2,40020,L,"0RJ2202C678",P0802_S,1,"",
2,"NPM-WX-2",2,40020,R,"EAH63172501",E0804_S,1,"",
2,"NPM-WX-2",2,40021,L,"0RJ1803C678",P0802_S,1,"",
2,"NPM-WX-2",2,40021,R,"0LCTD00034A",P0804_S,1,"",
2,"NPM-WX-2",2,40022,L,"EAE64361601",P0802_S,1,"",
2,"NPM-WX-2",2,40022,R,"EBC64035701",P0802_S,1,"",
2,"NPM-WX-2",2,40023,L,"ERHZ0000701",P0804_L,1,"",
2,"NPM-WX-2",2,40023,R,"0CH1682K562",P0804_S,1,"",
2,"NPM-WX-2",2,40024,L,"EBK33822201",E0804_L,1,"",
2,"NPM-WX-2",2,40024,R,"0CH4471K412",P0804_S,1,"",
2,"NPM-WX-2",2,40025,L,"EBC62528492",P0802_S,1,"",
2,"NPM-WX-2",2,40025,R,"EAE62681707",P0802_S,1,"",
2,"NPM-WX-2",2,40026,,,,,,
2,"NPM-WX-2",2,40027,,,,,,
2,"NPM-WX-2",2,40028,,,,,,
2,"NPM-WX-2",2,40029,,,,,,
2,"NPM-WX-2",2,40030,,,,,,
3,"NPM-3",1,50001,,,,,,
3,"NPM-3",1,50002,,,,,,
3,"NPM-3",1,50003,,,,,,
3,"NPM-3",1,50004,,,,,,
3,"NPM-3",1,50005,,"RAC34277701",E1204_S,4,"",
3,"NPM-3",1,50006,,"EAG62911501",E1604_S,2,"",
3,"NPM-3",1,50007,L,"0TRON80001C",E0804_S,14,"",
3,"NPM-3",1,50007,R,"EBK35248901",E0804_L,1,"",
3,"NPM-3",1,50008,L,"EAH63174401",E0804_S,1,"",
3,"NPM-3",1,50008,R,"EAH64254001",E0804_L,1,"",
3,"NPM-3",1,50009,L,"EAH62334102",E0804_S,1,"",
3,"NPM-3",1,50009,R,"EAE64462201",P0802_S,1,"",
3,"NPM-3",1,50010,L,"EAP31684701",E0804_L,10,"",
3,"NPM-3",1,50010,R,"EAN64986801",E0804_S,2,"",
3,"NPM-3",1,50011,L,"EAH62334101",E0804_S,12,"",
3,"NPM-3",1,50011,R,"EAH64253701",E0804_L,1,"",
3,"NPM-3",1,50012,L,"EAH62319001",E0804_S,12,"",
3,"NPM-3",1,50012,R,"EAN38670901",E0804_L,2,"",
3,"NPM-3",1,50013,L,"EAE65238803",P0802_S,4,"",
3,"NPM-3",1,50013,R,"",,0,,
3,"NPM-3",1,50014,,,,,,
3,"NPM-3",1,50015,,,,,,
3,"NPM-3",1,50016,,,,,,
3,"NPM-3",1,50017,,,,,,
3,"NPM-3",1,50018,,,,,,
3,"NPM-3",1,50019,,,,,,
3,"NPM-3",1,50020,,,,,,
3,"NPM-3",1,50021,,,,,,
3,"NPM-3",1,50022,,,,,,
3,"NPM-3",1,50023,,,,,,
3,"NPM-3",1,50024,,,,,,
3,"NPM-3",1,50025,,,,,,
3,"NPM-3",1,50026,,,,,,
3,"NPM-3",1,50027,,,,,,
3,"NPM-3",1,50028,,,,,,
3,"NPM-3",1,50029,,,,,,
3,"NPM-3",1,50030,,,,,,
3,"NPM-3",2,60001,,,,,,
3,"NPM-3",2,60002,,,,,,
3,"NPM-3",2,60003,,,,,,
3,"NPM-3",2,60004,,,,,,
3,"NPM-3",2,60005,,,,,,
3,"NPM-3",2,60006,L,"EBC64816201",P0804_S,2,"",
3,"NPM-3",2,60006,R,"EAE63722001",E0804_S,5,"",
3,"NPM-3",2,60007,,"EAN62796702",E1612_L,2,"",
3,"NPM-3",2,60008,L,"EAP61829301",E0804_S,2,"",
3,"NPM-3",2,60008,R,"EAE60364701",E0804_S,3,"",
3,"NPM-3",2,60009,,"EBC64295501",E1204_S,2,"",
3,"NPM-3",2,60010,L,"EAP62706101",E0804_S,1,"",
3,"NPM-3",2,60010,R,"EAP62627201",E0804_S,2,"",
3,"NPM-3",2,60011,L,"EAP62627202",E0804_S,1,"",
3,"NPM-3",2,60011,R,"EAW64255701",E0804_S,1,"",
3,"NPM-3",2,60012,L,"EAW63083701",E0804_S,1,"",
3,"NPM-3",2,60012,R,"EAN62931901",E0804_L,1,"",
3,"NPM-3",2,60013,,"EAW61943802",E1204_S,1,"",
3,"NPM-3",2,60014,,,,,,
3,"NPM-3",2,60015,,,,,,
3,"NPM-3",2,60016,,,,,,
3,"NPM-3",2,60017,,,,,,
3,"NPM-3",2,60018,,,,,,
3,"NPM-3",2,60019,,,,,,
3,"NPM-3",2,60020,,,,,,
3,"NPM-3",2,60021,,,,,,
3,"NPM-3",2,60022,,,,,,
3,"NPM-3",2,60023,,,,,,
3,"NPM-3",2,60024,,,,,,
3,"NPM-3",2,60025,,,,,,
3,"NPM-3",2,60026,,,,,,
3,"NPM-3",2,60027,,,,,,
3,"NPM-3",2,60028,,,,,,
3,"NPM-3",2,60029,,,,,,
3,"NPM-3",2,60030,,,,,,
4,"NPM-4",1,70001,,,,,,
4,"NPM-4",1,70002,,,,,,
4,"NPM-4",1,70003,,,,,,
4,"NPM-4",1,70004,,,,,,
4,"NPM-4",1,70005,,,,,,
4,"NPM-4",1,70006,,,,,,
4,"NPM-4",1,70007,,,,,,
4,"NPM-4",1,70008,,,,,,
4,"NPM-4",1,70009,,,,,,
4,"NPM-4",1,70010,,,,,,
4,"NPM-4",1,70011,,,,,,
4,"NPM-4",1,70012,,,,,,
4,"NPM-4",1,70013,,,,,,
4,"NPM-4",1,70014,,,,,,
4,"NPM-4",1,70015,,"EAG63716902",E5620_L,2,"",
4,"NPM-4",1,70016,,,,,,
4,"NPM-4",1,70017,,,,,,
4,"NPM-4",1,70018,,"EAN64686501",E1208_L,1,"",
4,"NPM-4",1,70019,,"0DSKE00048A",E1204_S,1,"",
4,"NPM-4",1,70020,,"EAN65167201",E1208_L,1,"",
4,"NPM-4",1,70021,,"EAN64589801",E1208_L,1,"",
4,"NPM-4",1,70022,,"0ILNRON005C",E1208_L,2,"",
4,"NPM-4",1,70023,,"EAP64446901",E1208_L,1,"",
4,"NPM-4",1,70024,,"EAN65167101",E1208_L,1,"",
4,"NPM-4",1,70025,L,"EAE65242001",E0804_S,1,"",
4,"NPM-4",1,70025,R,"",,0,,
4,"NPM-4",1,70026,,"EBK61913401",E1208_L,1,"",
4,"NPM-4",1,70027,,"EAM35298003",E1208_L,1,"",
4,"NPM-4",1,70028,,"EBK63591401",E1612_L,1,"",
4,"NPM-4",1,70029,,"0IPRP00025D",E1208_L,1,"",
4,"NPM-4",1,70030,,,,,,
4,"NPM-4",2,80018,,"EAP64866101",E2416_L,1,"",
4,"NPM-4",2,80019,,,,,,
4,"NPM-4",2,80020,,"0RJ0561H680",E1204_S,4,"",
4,"NPM-4",2,80021,,"EAG64150202",E5616_L,1,"",
4,"NPM-4",2,80022,,,,,,
4,"NPM-4",2,80023,,,,,,
4,"NPM-4",2,80024,,"EBK63791301",E1208_L,1,"",
4,"NPM-4",2,80025,,"0TRKE80023B",E1208_L,1,"",
4,"NPM-4",2,80026,,,,,,
4,"NPM-4",2,80027,,,,,,
4,"NPM-4",2,80028,,,,,,
4,"NPM-4",2,80029,,,,,,
4,"NPM-4",2,80030,,,,,,
4,"NPM-4",2,81001,,"EAN63027001",Tray,1,"",
4,"NPM-4",2,81002,,"EAN65088801",Tray,1,"",
4,"NPM-4",2,81003,,"EAN63067201",Tray,1,"",
4,"NPM-4",2,81004,,,,,,
4,"NPM-4",2,81005,,,,,,
4,"NPM-4",2,81006,,,,,,
4,"NPM-4",2,81007,,,,,,
4,"NPM-4",2,81008,,,,,,
4,"NPM-4",2,81009,,,,,,
4,"NPM-4",2,81010,,,,,,
4,"NPM-4",2,81011,,,,,,
4,"NPM-4",2,81012,,,,,,
4,"NPM-4",2,81013,,,,,,
4,"NPM-4",2,81014,,,,,,
4,"NPM-4",2,81015,,,,,,
4,"NPM-4",2,81016,,,,,,
4,"NPM-4",2,81017,,,,,,
4,"NPM-4",2,81018,,,,,,
4,"NPM-4",2,81019,,,,,,
4,"NPM-4",2,81020,,,,,,

Nozzle Setup
Machine #,Machine Name,Table,Slot,Nozzle
1,"NPM-WX-1",1,11,230S
1,"NPM-WX-1",1,12,230S
1,"NPM-WX-1",1,13,230S
1,"NPM-WX-1",1,14,230S
1,"NPM-WX-1",1,15,230S
1,"NPM-WX-1",1,16,230S
1,"NPM-WX-1",1,17,230S
1,"NPM-WX-1",1,18,230S
1,"NPM-WX-1",1,21,230S
1,"NPM-WX-1",1,22,230S
1,"NPM-WX-1",1,23,230S
1,"NPM-WX-1",1,24,230S
1,"NPM-WX-1",1,25,230S
1,"NPM-WX-1",1,26,230S
1,"NPM-WX-1",1,27,230S
1,"NPM-WX-1",1,28,230S
1,"NPM-WX-1",1,31,
1,"NPM-WX-1",1,32,
1,"NPM-WX-1",1,33,
1,"NPM-WX-1",1,34,
1,"NPM-WX-1",1,35,
1,"NPM-WX-1",1,36,
1,"NPM-WX-1",1,37,
1,"NPM-WX-1",1,38,
1,"NPM-WX-1",1,41,
1,"NPM-WX-1",1,42,
1,"NPM-WX-1",1,43,
1,"NPM-WX-1",1,44,
1,"NPM-WX-1",1,45,
1,"NPM-WX-1",1,46,
1,"NPM-WX-1",1,47,
1,"NPM-WX-1",1,48,
1,"NPM-WX-1",2,11,230S
1,"NPM-WX-1",2,12,230S
1,"NPM-WX-1",2,13,230S
1,"NPM-WX-1",2,14,230S
1,"NPM-WX-1",2,15,230S
1,"NPM-WX-1",2,16,230S
1,"NPM-WX-1",2,17,230S
1,"NPM-WX-1",2,18,230S
1,"NPM-WX-1",2,21,230S
1,"NPM-WX-1",2,22,230S
1,"NPM-WX-1",2,23,230S
1,"NPM-WX-1",2,24,230S
1,"NPM-WX-1",2,25,230S
1,"NPM-WX-1",2,26,230S
1,"NPM-WX-1",2,27,230S
1,"NPM-WX-1",2,28,230S
1,"NPM-WX-1",2,31,
1,"NPM-WX-1",2,32,
1,"NPM-WX-1",2,33,
1,"NPM-WX-1",2,34,
1,"NPM-WX-1",2,35,
1,"NPM-WX-1",2,36,
1,"NPM-WX-1",2,37,
1,"NPM-WX-1",2,38,
1,"NPM-WX-1",2,41,
1,"NPM-WX-1",2,42,
1,"NPM-WX-1",2,43,
1,"NPM-WX-1",2,44,
1,"NPM-WX-1",2,45,
1,"NPM-WX-1",2,46,
1,"NPM-WX-1",2,47,
1,"NPM-WX-1",2,48,
2,"NPM-WX-2",1,11,235S
2,"NPM-WX-2",1,12,235S
2,"NPM-WX-2",1,13,235S
2,"NPM-WX-2",1,14,230S
2,"NPM-WX-2",1,15,230S
2,"NPM-WX-2",1,16,230S
2,"NPM-WX-2",1,17,230S
2,"NPM-WX-2",1,18,230S
2,"NPM-WX-2",1,21,235S
2,"NPM-WX-2",1,22,235S
2,"NPM-WX-2",1,23,235S
2,"NPM-WX-2",1,24,230S
2,"NPM-WX-2",1,25,230S
2,"NPM-WX-2",1,26,230S
2,"NPM-WX-2",1,27,230S
2,"NPM-WX-2",1,28,230S
2,"NPM-WX-2",1,31,
2,"NPM-WX-2",1,32,
2,"NPM-WX-2",1,33,
2,"NPM-WX-2",1,34,
2,"NPM-WX-2",1,35,
2,"NPM-WX-2",1,36,
2,"NPM-WX-2",1,37,
2,"NPM-WX-2",1,38,
2,"NPM-WX-2",1,41,
2,"NPM-WX-2",1,42,
2,"NPM-WX-2",1,43,
2,"NPM-WX-2",1,44,
2,"NPM-WX-2",1,45,
2,"NPM-WX-2",1,46,
2,"NPM-WX-2",1,47,
2,"NPM-WX-2",1,48,
2,"NPM-WX-2",2,11,230S
2,"NPM-WX-2",2,12,230S
2,"NPM-WX-2",2,13,230S
2,"NPM-WX-2",2,14,230S
2,"NPM-WX-2",2,15,230S
2,"NPM-WX-2",2,16,230S
2,"NPM-WX-2",2,17,230S
2,"NPM-WX-2",2,18,230S
2,"NPM-WX-2",2,21,230S
2,"NPM-WX-2",2,22,230S
2,"NPM-WX-2",2,23,230S
2,"NPM-WX-2",2,24,230S
2,"NPM-WX-2",2,25,230S
2,"NPM-WX-2",2,26,230S
2,"NPM-WX-2",2,27,230S
2,"NPM-WX-2",2,28,230S
2,"NPM-WX-2",2,31,
2,"NPM-WX-2",2,32,
2,"NPM-WX-2",2,33,
2,"NPM-WX-2",2,34,
2,"NPM-WX-2",2,35,
2,"NPM-WX-2",2,36,
2,"NPM-WX-2",2,37,
2,"NPM-WX-2",2,38,
2,"NPM-WX-2",2,41,
2,"NPM-WX-2",2,42,
2,"NPM-WX-2",2,43,
2,"NPM-WX-2",2,44,
2,"NPM-WX-2",2,45,
2,"NPM-WX-2",2,46,
2,"NPM-WX-2",2,47,
2,"NPM-WX-2",2,48,
3,"NPM-3",1,11,380
3,"NPM-3",1,12,235
3,"NPM-3",1,13,235
3,"NPM-3",1,14,235
3,"NPM-3",1,21,240
3,"NPM-3",1,22,235
3,"NPM-3",1,23,235
3,"NPM-3",1,24,230
3,"NPM-3",1,31,
3,"NPM-3",1,32,
3,"NPM-3",1,33,
3,"NPM-3",1,34,
3,"NPM-3",1,41,
3,"NPM-3",1,42,
3,"NPM-3",1,43,
3,"NPM-3",1,44,
3,"NPM-3",2,11,1002
3,"NPM-3",2,12,1002
3,"NPM-3",2,13,1001
3,"NPM-3",2,14,
3,"NPM-3",2,15,
3,"NPM-3",2,21,
3,"NPM-3",2,22,
3,"NPM-3",2,23,
3,"NPM-3",2,24,
3,"NPM-3",2,25,
3,"NPM-3",2,31,
3,"NPM-3",2,32,
3,"NPM-3",2,33,
3,"NPM-3",2,34,
3,"NPM-3",2,35,
4,"NPM-4",1,11,1002
4,"NPM-4",1,12,1002
4,"NPM-4",1,13,1002
4,"NPM-4",1,14,
4,"NPM-4",1,15,
4,"NPM-4",1,21,1008
4,"NPM-4",1,22,
4,"NPM-4",1,23,1008
4,"NPM-4",1,24,
4,"NPM-4",1,25,
4,"NPM-4",1,31,
4,"NPM-4",1,32,
4,"NPM-4",1,33,
4,"NPM-4",1,34,
4,"NPM-4",1,35,
4,"NPM-4",2,11,1005
4,"NPM-4",2,12,1003
4,"NPM-4",2,13,1002
4,"NPM-4",2,14,
4,"NPM-4",2,15,
4,"NPM-4",2,21,
4,"NPM-4",2,22,
4,"NPM-4",2,23,
4,"NPM-4",2,24,
4,"NPM-4",2,25,
4,"NPM-4",2,31,
4,"NPM-4",2,32,
4,"NPM-4",2,33,
4,"NPM-4",2,34,
4,"NPM-4",2,35,

Cycle Time
Stage,EBR32094107-BOT
4,23.077
3,22.298
2,22.757
1,23.236
